1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
-90 40 -63 -20 -27 24 -63 -10 36 9 -70 -9 -1 42 18 21 -1 -28 -1 -1 -1 -35 -1 5 5 -1 6 -1 -1 0 -1 -1 -1 0 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-99 44 -70 -22 -30 -1 -72 -11 40 10 -77 -10 -1 48 -1 -1 -28 -32 -24 -1 63 -40 -1 -1 -1 -35 7 -1 -30 0 -1 12 -1 0 3 -1 -1 -1 -1 -1 -1 -1 -20 2 -1 -1 -1 -1 -1 -1
-108 48 -77 -24 -33 27 -81 -12 44 11 -84 -11 -35 54 20 24 -1 -36 -27 -1 -1 -1 -35 6 6 -40 -1 -18 -36 0 -1 16 -2 0 6 -6 9 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1
-117 52 -84 -26 -36 30 -1 -13 48 12 -91 -12 -40 -1 22 27 -1 -40 -1 10 72 -1 -42 -1 7 -45 8 -27 -42 -1 -12 -1 -1 0 -1 -8 -1 -1 -1 -14 -1 3 -1 -1 -1 -1 -1 -1 -1 -1
-126 56 -91 -28 -39 33 -90 -14 52 13 -98 -1 -45 -1 24 30 -35 -44 -30 12 81 -1 -49 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 9 -10 -1 -1 -1 -1 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1
-135 60 -98 -30 -42 -1 -1 -15 56 14 -1 -1 -50 -1 26 33 -42 -1 -1 14 90 -1 -56 -1 8 -1 9 -36 -48 -1 -15 -1 -3 0 -1 -12 12 -1 0 -1 -1 -1 -1 4 -1 -12 -1 -1 -1 -1
-144 64 -105 -32 -45 36 -99 -16 60 15 -105 -13 -55 -1 28 -1 -49 -48 -33 -1 99 -45 -63 -1 9 -1 -1 -45 -1 -1 -1 -1 -1 -1 12 -14 -1 7 -1 -21 -1 -1 -1 -1 8 -1 -1 -1 -1 -1
-153 68 -112 -34 -48 39 -108 -17 64 16 -112 -14 -60 60 30 36 -56 -52 -36 -1 108 -1 -70 -1 10 -1 -1 -1 -54 0 -18 -1 -1 0 -1 -1 -1 14 -1 -1 -1 6 -2 -1 -1 -1 -1 -1 -1 -1
-162 72 -119 -36 -51 42 -117 -18 68 17 -119 -1 -1 66 32 39 -63 -56 -39 -1 -1 -50 -77 -1 -1 -50 10 -54 -1 0 -1 20 -1 -1 -1 -16 -1 -1 -1 -1 -1 -1 -3 -1 -1 -1 -1 -1 -1 -1
-171 76 -126 -38 -54 45 -126 -19 72 18 -126 -15 -65 -1 34 42 -70 -1 -1 -1 -1 -55 -84 -1 11 -55 11 -63 -1 -1 -21 -1 -1 -1 -1 -1 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-180 80 -133 -40 -57 48 -135 -20 76 19 -133 -16 -70 72 -1 45 -1 -60 -42 -1 -1 -1 -1 -1 -1 -1 12 -72 -60 0 -1 -1 -4 -1 15 -1 -1 21 -1 -1 -30 -1 -1 -1 -1 -1 -1 -1 -1 -1
-189 84 -140 -42 -60 51 -144 -21 80 20 -140 -1 -75 78 36 48 -77 -1 -1 16 117 -1 -1 -1 -1 -1 -1 -1 -66 0 -1 -1 -1 -1 -1 -18 -1 -1 -1 -1 -36 -1 -1 -1 -1 -1 -1 -1 -1 -1
-198 88 -147 -44 -63 54 -153 -22 84 21 -1 -17 -1 84 38 -1 -1 -1 -45 -1 126 -60 -1 7 12 -1 13 -81 -1 0 -24 -1 -1 0 -1 -1 18 28 -1 -1 -42 -1 -1 -1 -1 -1 -18 -1 -1 -1
-207 92 -154 -46 -66 57 -162 -23 88 22 -147 -18 -80 90 40 -1 -84 -64 -48 18 -1 -65 -91 8 13 -1 14 -1 -1 0 -1 -1 -5 0 -1 -1 -1 35 -1 -1 -48 -1 -1 -1 -1 -16 -27 -1 -1 -1
-216 96 -161 -48 -69 60 -171 -24 92 23 -154 -19 -85 -1 42 -1 -1 -68 -51 20 135 -70 -98 9 14 -60 15 -1 -72 0 -1 -1 -1 -1 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-225 100 -168 -50 -72 63 -180 -25 96 24 -161 -20 -90 96 44 -1 -91 -72 -1 22 -1 -75 -105 -1 15 -65 -1 -1 -1 -1 -27 24 -6 0 -1 -1 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-234 104 -175 -52 -75 66 -189 -26 -1 25 -168 -1 -95 102 46 51 -1 -1 -54 -1 -1 -1 -112 10 16 -1 -1 -90 -1 0 -30 28 -1 0 -1 -20 24 -1 0 -1 -54 -1 -1 -1 16 -1 -1 -1 -1 -1
-243 108 -182 -54 -78 69 -198 -1 100 26 -175 -21 -1 -1 -1 54 -98 -1 -57 -1 144 -80 -119 11 -1 -70 16 -1 -78 -1 -1 -1 -1 0 21 -22 -1 42 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1
-252 112 -189 -56 -81 72 -1 -27 104 27 -182 -22 -100 108 48 57 -105 -1 -60 24 153 -85 -126 -1 17 -1 17 -99 -84 -1 -33 -1 -7 0 24 -1 27 -1 0 -1 -1 -1 -4 -1 -1 -1 -1 -1 -1 -1
-261 116 -196 -58 -84 75 -207 -28 108 -1 -189 -23 -105 114 50 60 -112 -76 -63 -1 162 -1 -133 12 -1 -1 18 -108 -90 -1 -36 -1 -8 0 -1 -24 -1 -1 -1 -1 -60 -1 -1 -1 -1 -1 -1 -1 -1 -1
-270 120 -203 -60 -87 78 -216 -29 112 28 -196 -24 -110 -1 -1 63 -119 -1 -66 26 -1 -90 -1 -1 18 -1 -1 -117 -96 0 -1 32 -1 -1 27 -1 -1 -1 0 -1 -66 -1 -1 -1 -1 -1 -1 -1 -1 -1
-279 124 -210 -62 -90 81 -225 -1 -1 -1 -203 -25 -115 120 52 66 -1 -1 -69 28 171 -95 -1 13 19 -1 -1 -1 -102 -1 -39 -1 -9 -1 30 -26 -1 49 -1 -28 -1 -1 -1 -1 -1 -1 -1 -1 -1 3
-288 128 -217 -64 -93 84 -1 -30 116 29 -210 -26 -120 126 54 69 -1 -80 -72 30 -1 -1 -1 -1 -1 -75 19 -1 -1 -1 -42 36 -1 0 -1 -28 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-297 132 -224 -66 -96 87 -234 -31 120 30 -217 -27 -125 132 56 -1 -126 -84 -75 -1 180 -1 -140 14 -1 -1 20 -126 -108 0 -45 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1
-306 136 -231 -68 -99 90 -243 -32 124 31 -224 -28 -1 138 -1 72 -1 -88 -78 32 -1 -100 -147 -1 20 -80 21 -1 -114 0 -1 40 -1 -1 -1 -1 -1 56 0 -1 -1 12 -1 6 -1 -1 -1 -1 -1 -1
-315 140 -238 -70 -102 93 -252 -33 128 32 -231 -29 -130 144 58 75 -133 -92 -81 34 -1 -1 -1 -1 21 -85 -1 -135 -120 0 -1 -1 -1 0 -1 -1 -1 -1 0 -35 -1 15 -1 -1 -1 -1 -1 -1 -1 -1
-324 144 -245 -72 -105 96 -261 -34 132 -1 -1 -1 -1 150 60 78 -140 -96 -84 36 -1 -105 -154 15 22 -90 -1 -1 -1 0 -48 -1 -10 -1 33 -1 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-333 148 -252 -74 -108 99 -270 -35 136 33 -238 -30 -135 156 62 81 -147 -100 -87 38 189 -110 -1 -1 23 -95 -1 -1 -1 -1 -51 44 -1 -1 36 -1 -1 -1 -1 -42 -1 18 -5 -1 -1 -1 -1 -1 -1 -1
-342 152 -259 -76 -111 102 -279 -36 140 34 -1 -31 -140 162 -1 84 -154 -104 -1 40 -1 -115 -1 16 24 -100 22 -1 -126 0 -54 48 -11 -1 -1 -1 36 -1 0 -1 -1 -1 -1 7 -1 -20 -1 -1 -1 -1
-351 156 -266 -78 -114 105 -288 -37 -1 -1 -1 -32 -145 -1 64 -1 -161 -108 -90 -1 198 -120 -1 17 25 -1 23 -144 -132 0 -1 -1 -12 -1 39 -1 39 63 -1 -1 -1 -1 -1 -1 -1 -1 -36 -1 -1 -1
-360 160 -273 -80 -117 108 -1 -38 144 35 -245 -33 -150 168 66 87 -168 -1 -1 42 207 -125 -161 -1 -1 -105 -1 -1 -138 -1 -1 -1 -1 -1 42 -30 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -45 -1 -1 -1
-369 164 -280 -82 -120 111 -297 -39 148 36 -252 -34 -155 174 -1 -1 -1 -112 -93 -1 216 -130 -168 -1 -1 -1 -1 -1 -1 0 -57 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -24 -1 -1 -1 -1
-378 168 -287 -1 -123 114 -306 -40 152 37 -259 -35 -160 180 -1 -1 -175 -116 -1 -1 -1 -135 -1 -1 -1 -110 -1 -153 -144 -1 -1 52 -13 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-387 172 -294 -84 -126 117 -315 -41 156 38 -266 -36 -165 186 68 90 -182 -1 -1 44 -1 -140 -1 18 -1 -1 -1 -1 -150 0 -1 -1 -1 -1 45 -1 45 70 -1 -49 -1 -1 -1 9 -1 -1 -1 -1 -1 -1
-396 176 -301 -86 -129 120 -324 -42 160 -1 -273 -1 -170 192 -1 -1 -189 -120 -1 46 225 -145 -175 -1 -1 -115 -1 -1 -1 0 -1 56 -14 -1 -1 -1 -1 -1 -1 -1 -1 21 -1 -1 -1 -1 -1 -1 -1 -1
-405 180 -308 -88 -132 123 -333 -1 164 39 -1 -1 -1 198 70 93 -196 -1 -1 48 -1 -150 -182 19 -1 -120 -1 -1 -156 -1 -1 -1 -1 0 -1 -32 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-414 184 -315 -90 -135 126 -342 -43 168 40 -280 -37 -1 204 72 -1 -203 -1 -96 -1 -1 -155 -1 20 26 -125 -1 -162 -162 0 -1 -1 -1 0 48 -1 -1 -1 -1 -1 -72 -1 -6 -1 -1 -1 -54 -1 -1 -1
-423 188 -322 -92 -138 129 -351 -44 172 41 -287 -38 -1 210 -1 96 -210 -124 -99 -1 -1 -1 -1 -1 -1 -130 24 -171 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -56 -78 -1 -1 -1 -1 -1 -1 -23 -1 -1
-432 192 -329 -94 -141 132 -360 -45 176 42 -294 -39 -175 216 74 99 -217 -128 -1 50 -1 -160 -1 21 27 -135 25 -180 -168 0 -1 -1 -15 0 -1 -1 -1 -1 -1 -1 -84 24 -1 10 -1 -1 -1 -1 -1 -1
-441 196 -336 -96 -144 135 -369 -46 180 43 -301 -40 -1 222 76 102 -224 -132 -102 -1 234 -165 -189 -1 28 -1 -1 -1 -174 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 27 -1 -1 -1 -1 -1 -1 -1 -1
-450 200 -343 -98 -147 138 -378 -47 -1 -1 -308 -41 -180 228 78 105 -231 -1 -105 52 -1 -170 -1 22 29 -1 -1 -189 -180 0 -1 -1 -16 -1 -1 -1 -1 -1 0 -1 -90 -1 -1 -1 -1 -1 -63 -1 -1 -1
-459 204 -350 -100 -150 141 -387 -48 184 44 -315 -42 -1 234 80 108 -238 -1 -1 54 243 -175 -196 23 30 -1 26 -198 -186 0 -60 60 -17 -1 -1 -34 -1 -1 -1 -63 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-468 208 -357 -102 -153 144 -396 -1 -1 45 -322 -43 -185 240 82 -1 -245 -136 -108 56 -1 -180 -1 -1 -1 -140 27 -1 -1 0 -63 -1 -1 0 51 -1 -1 -1 -1 -70 -96 -1 -1 -1 24 -1 -1 -1 -1 -1
-477 212 -364 -104 -156 147 -405 -49 188 -1 -329 -44 -190 246 -1 -1 -252 -140 -111 58 252 -1 -203 -1 -1 -145 -1 -207 -1 -1 -1 64 -1 0 54 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-486 216 -371 -106 -159 -1 -414 -50 192 46 -336 -1 -195 252 84 111 -1 -144 -114 60 -1 -185 -210 24 31 -150 -1 -216 -192 -1 -1 68 -18 -1 57 -1 -1 -1 -1 -77 -1 -1 -1 -1 -1 -28 -1 -1 -1 -1
-495 220 -378 -108 -162 150 -423 -51 196 -1 -343 -45 -1 258 -1 -1 -259 -148 -1 -1 -1 -190 -1 -1 -1 -155 -1 -1 -198 -1 -1 72 -1 0 -1 -36 -1 -1 -1 -1 -1 30 -1 -1 -1 -1 -1 -1 -1 -1
-504 224 -385 -110 -165 153 -432 -52 200 47 -350 -46 -200 264 -1 114 -266 -152 -117 62 261 -1 -217 25 -1 -1 28 -225 -204 -1 -1 76 -19 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-513 228 -392 -112 -168 156 -441 -53 -1 48 -1 -47 -1 -1 -1 117 -273 -1 -120 64 270 -195 -1 -1 -1 -160 29 -234 -1 -1 -1 80 -1 -1 -1 -1 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-522 232 -399 -114 -171 159 -450 -54 204 49 -1 -48 -205 -1 86 120 -1 -156 -1 66 279 -200 -224 -1 32 -165 -1 -243 -1 0 -66 -1 -20 0 -1 -1 -1 77 -1 -1 -1 -1 -1 -1 32 -1 -1 -1 -1 -1
-531 236 -406 -116 -1 162 -459 -55 208 50 -357 -49 -1 270 88 -1 -280 -160 -123 68 288 -1 -231 26 33 -1 30 -1 -1 0 -1 84 -21 -1 -1 -38 -1 -1 -1 -1 -1 -1 -7 -1 -1 -1 -1 -1 -1 -1
-540 240 -413 -118 -174 165 -1 -56 212 -1 -364 -50 -210 276 90 123 -287 -1 -1 70 -1 -205 -238 27 34 -170 31 -252 -1 0 -69 -1 -1 0 -1 -1 -1 -1 0 -84 -102 33 -1 11 40 -32 -1 -1 -1 -1
-549 244 -420 -120 -177 168 -468 -57 216 51 -371 -1 -215 -1 -1 -1 -294 -164 -1 72 -1 -1 -1 28 35 -175 32 -261 -210 0 -1 -1 -22 0 -1 -40 -1 -1 -1 -91 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-558 248 -427 -1 -180 171 -477 -1 220 52 -378 -51 -220 282 92 126 -301 -1 -126 74 -1 -210 -245 -1 -1 -180 -1 -1 -216 -1 -1 88 -1 -1 -1 -42 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-567 252 -434 -122 -183 174 -486 -58 -1 -1 -385 -1 -1 288 94 129 -1 -168 -1 76 -1 -215 -252 -1 -1 -1 33 -270 -222 -1 -1 92 -1 -1 -1 -44 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-576 256 -441 -124 -186 -1 -495 -59 224 53 -392 -52 -1 294 96 -1 -1 -172 -129 -1 -1 -1 -259 29 -1 -1 34 -1 -228 -1 -1 -1 -23 -1 -1 -1 51 -1 -1 -1 -1 36 -8 -1 -1 -1 -1 -1 -1 -1
-585 260 -448 -126 -189 177 -504 -60 228 54 -399 -53 -225 300 98 132 -308 -1 -132 78 297 -220 -1 -1 36 -185 -1 -279 -234 0 -1 96 -24 -1 -1 -1 -1 84 -1 -1 -108 -1 -1 -1 -1 -1 -1 -1 -1 -1
-594 264 -455 -128 -192 180 -1 -61 232 -1 -406 -54 -230 -1 100 -1 -315 -1 -135 80 -1 -225 -266 30 37 -1 35 -288 -1 -1 -72 -1 -25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-603 268 -462 -130 -195 183 -513 -62 -1 55 -1 -55 -235 306 102 135 -322 -1 -138 82 306 -1 -1 -1 -1 -190 -1 -1 -240 0 -75 -1 -26 0 -1 -46 -1 -1 -1 -98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-612 272 -469 -132 -1 186 -522 -63 236 56 -413 -1 -240 312 -1 138 -329 -176 -141 84 -1 -230 -273 31 38 -1 36 -297 -1 -1 -78 -1 -1 -1 -1 -48 54 91 -1 -1 -1 -1 -1 -1 48 -1 -1 -1 -1 -1
-621 276 -476 -134 -198 189 -531 -64 240 57 -420 -56 -245 318 -1 141 -336 -180 -1 -1 315 -235 -280 32 -1 -1 37 -1 -246 0 -1 -1 -1 -1 -1 -1 57 98 -1 -105 -1 -1 -9 -1 -1 -1 -1 -1 -1 -1
-630 280 -483 -136 -201 192 -540 -65 244 58 -427 -57 -250 324 104 144 -1 -184 -1 86 324 -1 -287 33 39 -1 38 -306 -1 0 -1 -1 -1 -1 60 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-639 284 -490 -138 -204 195 -1 -66 248 59 -434 -58 -255 -1 106 147 -1 -188 -144 88 -1 -240 -294 34 40 -1 -1 -1 -252 -1 -1 100 -1 0 -1 -50 -1 -1 -1 -1 -114 -1 -10 -1 -1 -1 -1 -1 -1 -1
-648 288 -497 -140 -207 198 -549 -67 252 60 -441 -59 -260 -1 -1 150 -1 -192 -1 90 333 -245 -1 -1 -1 -1 -1 -315 -1 -1 -1 -1 -1 -1 -1 -1 -1 105 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-657 292 -504 -1 -210 201 -558 -68 256 61 -448 -60 -265 -1 108 153 -343 -1 -147 92 342 -1 -301 35 -1 -195 39 -324 -258 -1 -81 -1 -27 -1 63 -1 60 -1 -1 -112 -1 -1 -1 12 -1 -1 -1 -1 -1 -1
-666 296 -511 -142 -213 204 -567 -69 -1 62 -455 -61 -270 330 110 -1 -350 -196 -1 94 351 -1 -1 36 41 -200 -1 -1 -1 -1 -84 104 -28 -1 66 -1 -1 112 -1 -1 -1 -1 -11 -1 -1 -1 -1 -1 -1 -1
-675 300 -518 -144 -1 207 -1 -70 260 63 -462 -62 -275 336 112 156 -357 -1 -150 96 360 -1 -308 37 -1 -205 -1 -333 -264 -1 -87 -1 -29 -1 -1 -1 -1 119 0 -1 -1 -1 -1 -1 -1 -36 -72 -1 -1 -1
-684 304 -525 -146 -216 210 -576 -71 264 64 -469 -63 -280 -1 -1 -1 -364 -200 -153 98 -1 -1 -315 38 -1 -210 40 -1 -1 0 -90 108 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-693 308 -532 -148 -219 213 -585 -72 268 -1 -476 -64 -1 342 -1 159 -371 -1 -156 100 -1 -1 -1 39 -1 -1 41 -1 -1 0 -93 112 -1 -1 -1 -1 -1 -1 -1 -119 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-702 312 -539 -150 -222 216 -594 -73 272 65 -483 -65 -285 -1 114 162 -1 -204 -159 102 -1 -250 -1 -1 42 -1 42 -1 -1 0 -96 -1 -30 0 -1 -52 -1 -1 -1 -1 -1 39 -1 13 -1 -1 -1 -1 -1 3
-711 316 -546 -152 -225 -1 -603 -1 276 66 -490 -66 -290 -1 116 165 -378 -208 -162 104 -1 -255 -1 40 -1 -1 -1 -1 -270 -1 -99 116 -1 0 -1 -1 -1 -1 0 -1 -120 -1 -1 14 -1 -1 -1 -1 -1 -1
-720 320 -553 -1 -228 219 -612 -74 280 67 -497 -1 -295 348 118 168 -1 -212 -165 106 -1 -1 -322 -1 43 -1 43 -342 -1 0 -102 120 -1 0 -1 -1 63 126 -1 -1 -1 -1 -1 -1 56 -1 -1 -1 -1 -1
-729 324 -560 -1 -231 222 -621 -75 284 68 -504 -67 -1 354 120 -1 -1 -216 -168 -1 369 -1 -1 -1 44 -215 44 -1 -1 -1 -105 -1 -1 -1 -1 -1 -1 133 0 -1 -1 -1 -1 15 -1 -1 -1 -1 -15 -1
-738 328 -567 -154 -234 225 -630 -76 288 69 -511 -68 -300 360 122 171 -385 -220 -171 -1 378 -260 -329 41 45 -1 -1 -1 -276 0 -108 -1 -31 -1 69 -54 -1 -1 -1 -1 -1 -1 -1 16 -1 -1 -1 -1 -1 -1
-747 332 -574 -156 -237 -1 -639 -77 292 70 -1 -69 -305 366 124 174 -392 -224 -1 108 -1 -1 -1 42 -1 -220 45 -351 -1 -1 -1 124 -1 0 -1 -56 -1 -1 0 -1 -1 -1 -1 17 64 -1 -1 -1 -1 -1
-756 336 -581 -158 -240 228 -648 -78 296 71 -518 -70 -310 372 126 177 -1 -1 -174 110 387 -1 -336 -1 -1 -225 46 -1 -282 0 -1 128 -1 0 72 -1 -1 -1 -1 -126 -1 42 -1 18 -1 -1 -1 -1 -1 -1
-765 340 -588 -160 -1 231 -657 -79 300 72 -525 -71 -315 378 128 180 -399 -228 -177 -1 396 -1 -1 43 46 -1 47 -360 -1 -1 -111 -1 -32 0 75 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-774 344 -595 -162 -243 234 -666 -80 304 73 -532 -72 -320 -1 130 183 -1 -1 -1 -1 405 -1 -343 -1 -1 -230 48 -1 -1 -1 -114 -1 -1 -1 78 -58 -1 -1 0 -1 -1 -1 -12 -1 -1 -1 -1 -4 -1 -1
-783 348 -1 -164 -246 237 -675 -81 -1 74 -539 -73 -1 384 132 186 -1 -232 -180 112 -1 -265 -1 -1 47 -235 49 -369 -1 -1 -117 132 -1 -1 81 -1 -1 -1 -1 -133 -126 45 -1 19 72 -40 -1 -1 -1 -1
-792 352 -602 -166 -249 -1 -684 -82 308 75 -546 -1 -1 390 134 -1 -406 -236 -183 114 414 -270 -1 44 48 -1 50 -1 -288 0 -1 136 -33 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-801 356 -609 -168 -252 240 -1 -83 312 76 -553 -74 -1 -1 136 -1 -413 -1 -186 116 423 -275 -350 -1 -1 -240 51 -1 -294 -1 -1 -1 -1 -1 -1 -1 66 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-810 -1 -616 -170 -255 243 -693 -84 316 77 -560 -75 -1 396 138 -1 -1 -240 -189 118 432 -280 -357 45 49 -1 52 -1 -1 0 -1 140 -1 -1 -1 -1 69 -1 -1 -1 -1 -1 -1 20 -1 -1 -1 -1 -1 -1
-819 360 -623 -172 -1 246 -702 -85 320 78 -567 -76 -325 -1 140 189 -420 -1 -1 -1 -1 -1 -1 46 50 -245 53 -378 -300 -1 -1 144 -34 0 84 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -8 -1 -1
-828 364 -630 -174 -258 249 -711 -86 324 79 -574 -1 -1 -1 142 192 -427 -1 -1 -1 -1 -285 -1 47 51 -250 54 -387 -1 0 -1 -1 -35 -1 87 -1 -1 -1 -1 -1 -1 48 -1 -1 -1 -1 -1 -1 -1 -1
-837 368 -637 -176 -261 252 -1 -87 328 -1 -581 -77 -1 -1 -1 195 -434 -244 -1 120 -1 -1 -1 -1 -1 -1 -1 -1 -306 -1 -120 148 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -81 -1 -1 6
-846 372 -644 -178 -264 255 -720 -88 332 80 -1 -78 -1 -1 -1 -1 -1 -1 -1 -1 441 -290 -1 48 -1 -255 55 -1 -1 -1 -1 -1 -36 0 90 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-855 376 -651 -180 -267 258 -729 -1 336 81 -1 -79 -1 402 144 -1 -441 -248 -192 122 450 -1 -1 49 52 -1 -1 -1 -312 -1 -1 152 -1 -1 -1 -60 -1 -1 -1 -1 -132 -1 -13 21 -1 -1 -1 -1 -1 -1
-864 380 -658 -182 -270 261 -738 -1 340 82 -1 -80 -330 408 146 198 -448 -1 -195 -1 459 -1 -364 50 53 -1 -1 -1 -318 -1 -1 -1 -37 -1 93 -1 -1 -1 -1 -1 -1 -1 -1 22 -1 -1 -1 -1 -1 -1
-873 384 -665 -184 -273 264 -747 -89 -1 83 -1 -81 -335 414 148 201 -455 -1 -1 -1 468 -1 -371 -1 54 -1 56 -1 -1 -1 -1 156 -38 0 96 -1 72 -1 0 -1 -138 -1 -1 -1 -1 -1 -90 -1 -1 -1
-882 388 -1 -186 -276 -1 -756 -1 344 84 -588 -82 -340 420 -1 -1 -1 -252 -1 -1 -1 -295 -1 -1 55 -1 57 -1 -1 -1 -123 -1 -39 0 99 -1 -1 -1 0 -1 -1 -1 -14 -1 -1 -1 -1 -1 -1 -1
