1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
32 76 0 0 63 0 0 0 62 31 92 5 0 63 60 71 0 16 21 49
32 11 0 0 0 0 0 0 82 83 0 67 0 26 0 17 0 0 0 18
61 33 35 0 69 0 0 0 78 64 38 0 0 0 0 6 0 0 43 67
52 87 0 71 17 0 0 0 11 0 0 71 0 6 0 78 0 0 0 9
36 60 99 90 0 36 0 0 29 0 6 46 0 76 0 11 0 66 49 66
76 0 34 0 66 23 86 0 81 35 48 88 0 0 0 35 0 0 0 88
0 96 42 0 0 92 29 0 52 74 96 0 0 0 0 0 0 0 11 37
82 24 17 49 59 15 0 0 81 0 36 0 0 59 0 44 0 0 0 48
91 3 42 0 0 45 80 0 27 41 57 0 0 0 0 49 0 8 66 89
91 61 49 0 0 55 26 0 46 0 26 9 0 20 0 43 0 95 0 76
50 0 99 0 24 15 21 0 19 0 26 0 0 0 0 49 0 0 91 39
4 60 50 18 8 54 66 0 49 0 96 0 0 0 0 0 0 0 73 0
52 0 18 22 0 21 96 0 5 0 0 0 0 0 78 71 0 95 66 45
57 66 6 91 6 11 18 0 30 0 68 89 5 1 47 87 0 0 0 10
78 51 95 65 20 96 2 0 52 6 29 0 0 0 0 0 0 0 0 91
82 1 69 0 0 0 0 0 1 57 42 0 0 0 0 22 0 0 15 31
38 27 89 70 87 99 0 0 2 0 12 10 22 94 0 36 0 29 31 95
24 30 19 0 9 26 0 0 67 0 18 32 85 60 0 73 0 8 89 84
47 0 31 0 16 0 0 0 91 0 29 0 0 0 96 19 0 98 0 11
34 10 0 0 0 0 0 0 26 16 18 3 0 12 82 18 0 0 0 46
0 29 26 0 85 74 0 0 24 0 79 6 0 8 0 54 0 86 0 0
50 83 60 79 93 85 0 0 61 19 33 0 0 0 53 31 0 0 1 66
42 35 68 0 83 64 36 0 11 88 96 0 27 0 0 79 0 0 0 68
33 44 62 0 95 79 0 0 87 0 80 51 0 12 49 56 0 38 40 94
35 19 0 0 91 67 0 0 99 40 1 0 91 0 0 37 0 0 18 55
0 0 19 0 0 9 0 0 2 0 7 0 0 0 0 32 0 0 57 37
79 46 38 4 79 0 33 64 27 0 0 0 0 0 0 60 0 75 0 90
30 51 2 56 96 22 96 0 6 41 2 26 73 18 0 67 0 69 68 72
85 42 3 81 53 23 0 0 4 0 73 0 0 0 0 0 0 0 63 39
30 5 84 28 4 99 82 0 10 70 7 5 53 62 0 59 0 0 78 9
51 34 0 0 41 19 0 0 96 0 60 38 0 75 99 41 0 24 0 64
0 48 0 85 86 0 0 28 84 0 63 61 0 40 0 0 0 0 0 0
70 15 22 93 37 0 89 0 43 0 79 88 0 46 0 0 0 0 0 17
22 0 99 0 84 60 44 0 16 0 66 0 0 0 0 0 0 0 0 42
76 37 13 97 18 51 64 0 18 99 56 75 0 55 0 51 0 0 43 30
6 44 40 0 0 0 76 0 31 58 92 4 0 45 0 25 0 0 2 61
15 23 68 1 54 25 65 0 53 0 32 72 0 80 0 21 0 91 78 90
4 55 83 0 3 0 80 36 37 94 8 0 0 84 0 60 0 0 71 27
72 60 0 0 48 3 27 0 5 0 97 73 0 37 0 77 0 7 11 88
5 97 48 0 15 0 0 0 13 0 89 0 0 3 27 23 0 0 0 52
3 19 90 0 84 0 84 0 78 29 40 87 47 13 49 65 0 85 36 32
93 38 37 0 32 96 86 0 56 91 18 0 0 0 30 3 0 0 0 59
45 16 96 62 11 66 0 0 57 0 24 98 0 97 0 78 0 0 3 51
54 30 56 0 60 23 77 0 0 0 43 0 0 0 0 44 0 0 90 33
60 56 61 0 44 11 0 0 56 0 12 32 0 76 0 99 0 21 64 7
31 80 90 0 88 64 3 0 9 82 13 40 94 66 69 97 0 25 53 89
78 12 40 0 14 95 0 0 43 0 37 25 65 43 0 79 0 0 60 40
32 0 24 95 0 35 34 0 29 0 54 0 0 0 0 56 0 0 73 2
0 0 0 0 44 31 39 0 55 33 52 0 0 0 0 70 0 0 0 8
56 60 0 0 0 62 0 0 65 0 51 15 0 4 0 12 0 0 0 54
72 56 19 33 0 0 0 0 50 0 80 97 0 90 78 54 0 0 42 49
2 0 0 0 0 0 31 0 5 28 95 54 0 0 82 16 0 0 69 59
98 63 6 18 25 0 0 67 6 0 51 0 93 0 0 68 0 67 0 76
7 47 44 65 0 24 46 0 6 8 40 0 0 14 0 16 0 0 95 60
