1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
30 30 90 80 27 72 -40 0 -70 -80 0 54 -63 90 81 45 -54 -81 0 70 14 -42 -72 -9 9 -70 -56 72 48 -70 -24 56 -56 0 0 -72 48 -32 0 0 -72 54 -56 -72 18 -40 -42 0 24 15 0 0 24 -7 0 0 -48 0 36 0 -28 -63 0 0 8 -42 0 30 -12 0 -10 -8 -32 -32 -56 -10 0 -15 0 0 0 -40 0 0 0 0 -45 0 0 0 0 0 0 0 0 0 -54 36 0 0 0 0 0 0 0 -21 0 -6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33 33 99 88 30 80 -44 -30 -77 -88 0 60 -70 99 90 0 0 -90 -27 77 16 -48 -81 -10 10 -77 -63 0 54 0 -27 63 -63 0 0 0 0 -36 -90 -49 -81 60 -63 0 20 0 0 0 0 0 0 -12 27 -8 -42 0 0 0 40 0 -35 0 0 14 0 -49 14 0 0 0 0 -16 0 -40 -64 0 0 -18 0 0 28 0 0 0 0 0 -54 -16 0 36 0 0 0 0 0 0 0 0 0 0 -35 0 0 6 0 0 -15 -9 18 0 0 0 0 0 -2 -4 0 0 0 35 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0
36 36 108 96 33 88 -48 -33 0 -96 0 66 -77 108 0 50 -60 -99 -30 84 18 -54 -90 0 11 -84 -70 81 60 -77 -30 70 -70 0 50 -80 54 -40 -99 -56 -90 66 -70 -81 0 -48 -48 -21 0 18 40 0 0 -9 -48 0 0 0 44 0 0 0 0 16 10 -56 21 0 0 0 0 -24 -40 -48 -72 0 0 0 -3 0 32 -45 0 56 24 -27 -63 0 0 0 0 0 0 0 -24 0 0 45 0 -6 0 14 0 9 0 -28 0 -12 0 0 0 18 0 0 0 0 7 0 -8 5 0 2 0 0 0 -8 0 0 0 0 0 0 0 0 0 -31 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 39 117 104 36 96 0 -36 -84 -104 0 72 -84 117 0 0 0 0 -33 91 20 -60 0 -11 12 -91 -77 90 66 -84 -33 77 0 0 55 -88 60 -44 0 -63 -99 0 -77 -90 0 -56 -54 -24 32 21 0 -14 30 -10 -54 -30 0 -48 48 0 0 -72 0 18 0 -63 28 0 0 0 0 0 -48 -56 0 -12 -25 -21 -4 0 0 -50 0 0 32 0 -72 -20 0 0 0 0 -30 0 0 0 0 0 0 0 0 21 -24 0 0 -35 0 0 27 0 0 0 0 0 0 0 0 0 0 0 34 0 0 -2 4 -12 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42 42 126 112 39 104 -52 -39 -91 0 0 78 -91 126 99 55 0 -108 -36 0 0 -66 -99 0 13 0 -84 0 72 -91 0 84 -77 0 60 0 66 -48 -108 -70 0 72 0 -99 0 -64 0 -27 0 24 0 0 33 -11 -60 0 -56 -56 0 0 -42 0 0 20 12 -70 0 35 -14 0 0 0 0 -64 -80 0 -30 -24 0 18 0 0 0 0 40 -36 -81 -24 0 0 0 -15 -35 0 0 0 -63 54 0 -8 -42 28 0 0 18 0 -20 -15 36 0 4 0 0 0 -4 -6 0 0 -16 0 5 0 0 0 0 0 2 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0
45 45 135 120 42 112 -56 -42 -98 -112 0 84 0 135 108 60 -66 -117 0 98 22 -72 -108 -12 14 0 -91 99 78 -98 -36 0 -84 0 0 0 72 0 -117 0 -108 78 0 -108 22 0 -60 -30 0 27 0 -16 0 0 -66 -35 -64 0 0 0 0 0 0 22 14 0 0 0 0 0 -12 -32 -56 0 0 -14 0 0 -5 0 36 0 0 0 0 -45 -90 -28 0 0 0 -20 -40 0 -28 0 0 0 -42 0 0 0 -28 0 0 0 -25 0 0 0 0 0 0 0 0 0 14 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 0 0 0 -6 0 0 0
48 48 144 128 45 120 -60 -45 -105 -120 0 90 -98 144 117 65 0 -126 -39 105 24 -78 -117 -13 15 0 -98 108 84 -105 0 0 0 0 65 -96 0 0 -126 -77 -117 84 -84 -117 24 -72 0 0 0 30 45 0 0 0 0 -40 0 0 52 0 -49 -81 0 24 16 0 35 40 0 0 0 -40 -64 0 0 0 0 -27 0 24 40 0 0 63 48 -54 0 0 0 0 0 0 0 0 0 0 0 0 -49 -10 0 35 -32 0 0 0 0 0 45 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 0 0 0 0 8 0 0 0 0 0 0
51 51 153 136 48 128 -64 -48 -112 -128 0 96 -105 153 126 70 -72 -135 0 112 26 -84 0 -14 16 -98 -105 0 0 -112 -39 91 -91 0 70 0 0 -52 -135 -84 0 90 -91 -126 0 -80 -66 -33 0 33 50 -18 36 -12 -72 -45 -72 0 56 0 -56 0 0 0 18 0 42 45 0 0 0 0 -72 0 0 0 -35 0 -6 30 0 0 0 0 0 -63 0 -32 0 0 0 -25 0 0 0 0 0 0 0 -12 0 42 0 0 0 -42 0 0 0 0 0 24 27 0 0 -8 0 0 0 0 10 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
54 54 162 144 51 136 -68 -51 -119 -136 0 102 -112 162 135 75 -78 -144 -42 119 28 -90 -126 -15 17 -105 -112 117 90 -119 -42 98 -98 0 0 -104 0 -56 -144 0 -126 96 -98 -135 26 -88 -72 0 40 36 55 -20 39 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 -14 -48 0 0 0 0 0 -30 -7 36 0 -55 0 0 0 0 0 0 12 45 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -40 0 0 15 3 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
57 57 0 152 54 144 -72 -54 -126 -144 0 108 -119 171 144 80 -84 -153 -45 126 30 -96 -135 -16 18 -112 -119 126 96 -126 -45 105 0 0 75 -112 78 -60 -153 0 -135 102 0 -144 28 -96 0 -36 48 39 60 0 0 0 -78 0 -80 0 60 0 -63 0 0 26 0 -77 0 50 -16 0 0 -56 0 0 0 0 -40 -33 -8 42 0 -60 0 0 56 -72 -99 0 0 54 0 -35 0 0 -32 0 0 0 0 0 -49 0 -36 0 0 0 0 -18 0 0 0 30 0 0 0 0 0 0 0 15 0 4 0 0 0 0 0 0 0 0 0 0 8 -5 27 0 0 0 -8 0 0 0 0 0 0 0 0 0 0 0
60 60 171 160 57 152 0 -57 -133 -152 0 114 0 180 153 85 -90 -162 0 133 32 -102 -144 -17 19 -119 -126 135 102 -133 -48 112 -105 0 80 0 0 0 -162 -91 -144 0 -105 0 30 0 -78 -39 56 42 0 -22 42 -13 -84 -50 -88 0 64 0 -70 -90 0 0 0 0 49 55 -18 0 0 0 -80 0 -88 0 -45 -36 0 0 0 -65 0 70 0 -81 -108 -36 16 63 0 0 0 0 0 0 -72 0 0 0 -56 0 0 0 27 0 0 0 54 0 0 0 0 0 0 -10 21 0 -24 0 0 5 0 0 0 -16 4 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0
63 63 180 168 60 160 -76 -60 0 -160 0 0 -126 189 162 90 -96 -171 -48 140 34 -108 0 -18 20 -126 -133 144 108 0 -51 119 -112 0 85 0 84 -64 -171 0 -153 0 -112 0 32 -104 -84 -42 64 0 65 0 45 0 0 -55 -96 0 0 0 -77 0 0 28 0 -84 56 60 -20 0 0 -64 0 -72 -96 -16 0 0 -9 48 44 -70 0 77 0 -90 -117 -40 20 72 0 0 0 0 0 0 0 63 0 0 0 0 0 12 0 0 0 -21 0 0 0 0 0 0 0 0 0 0 -32 0 0 0 9 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66 66 189 0 0 168 -80 -63 -140 -168 0 120 -133 0 171 95 -102 -180 0 147 36 -114 -153 0 21 -133 -140 153 0 0 0 0 -119 0 90 0 90 0 -180 0 0 108 0 -153 0 -112 0 -45 72 0 0 -24 48 0 -90 -60 -104 -64 68 0 -84 0 0 0 22 -91 63 65 -22 0 -16 0 0 -80 -104 -18 0 -39 -10 0 48 -75 0 84 64 -99 -126 0 0 0 0 -40 -45 0 0 0 -81 0 0 0 0 0 0 15 36 -49 0 0 0 0 0 0 36 0 0 0 28 -48 0 0 0 0 0 0 0 -20 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
69 69 198 176 63 176 -84 -66 -147 -176 0 126 -140 198 180 100 -108 -189 0 154 0 -120 -162 0 22 -140 -147 162 0 -140 -54 126 -126 0 95 -120 96 -68 -189 -98 -162 114 -119 -162 0 -120 -90 0 80 45 70 -26 0 -14 0 -65 -112 -72 0 0 0 -99 0 0 0 0 70 0 -24 0 0 0 0 0 -112 0 0 0 0 0 0 0 0 91 0 -108 -135 0 24 0 0 0 0 0 0 0 0 0 -56 -14 0 0 0 0 0 0 -30 0 63 -4 8 0 0 0 0 0 0 0 0 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 18 0 0 0 0 0 0 0 0 0 0 0 0
72 72 207 184 66 184 -88 0 -154 -184 0 132 -147 207 189 105 -114 -198 -51 161 38 -126 -171 -19 23 0 -154 171 114 -147 -57 133 -133 0 100 0 102 -72 -198 -105 -171 120 -126 -171 34 0 0 0 88 0 75 -28 0 0 -96 0 -120 -80 72 0 0 0 0 30 24 -98 77 0 -26 0 0 -72 0 0 0 -20 0 0 0 0 0 -80 0 0 0 -117 0 -44 0 81 0 -45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -35 0 72 -8 0 0 0 14 0 0 35 0 0 0 0 0 0 0 0 -24 0 0 0 0 0 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
75 75 216 192 69 192 -92 -69 -161 0 0 138 -154 0 198 110 -120 -207 0 168 0 -132 -180 -20 24 -147 -161 180 120 0 -60 140 -140 0 105 -128 108 -76 0 0 -180 126 -133 -180 36 -128 0 -48 96 48 80 -30 51 0 -102 -70 0 0 0 0 0 -108 0 32 0 0 84 70 0 0 -18 0 -88 0 0 0 0 -42 0 54 52 0 0 98 72 0 -144 -48 0 0 0 0 -50 0 -36 0 0 0 0 -16 -63 49 -40 18 45 0 0 -24 81 0 0 36 45 21 -6 0 42 0 -40 25 0 0 0 0 8 0 0 0 0 0 -18 0 0 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
78 78 225 200 72 200 -96 -72 -168 -192 0 144 -161 216 207 115 0 -216 -54 175 40 -138 -189 -21 25 -154 -168 0 126 -154 -63 147 -147 0 110 -136 114 0 0 -112 0 132 -140 -189 38 -136 -96 0 104 51 85 0 54 -15 0 0 0 0 76 0 -91 0 0 34 0 -105 91 0 -28 0 0 -80 -96 0 0 0 -50 0 -11 60 0 -85 0 105 0 -126 0 0 28 0 0 0 0 0 -40 0 0 0 -63 0 0 0 0 0 0 0 0 0 0 0 0 42 0 28 0 -12 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 -14 0 0 36 0 0 0 0 0 0 0 -14 0 0 0 0 0 0 0
81 81 234 208 75 208 -100 -75 -175 -200 0 150 -168 225 216 120 -126 -225 -57 182 42 -144 -198 -22 26 0 -175 0 132 0 -66 154 -154 0 115 -144 120 -80 -207 -119 -189 138 0 0 0 0 -102 -51 0 54 90 -32 57 -16 -108 0 -128 -88 80 0 -98 -117 0 0 26 0 98 0 -30 0 -20 -88 -104 -88 -120 0 0 -45 0 0 0 -90 0 0 80 0 0 0 0 0 0 0 0 0 -44 0 0 72 0 -18 0 0 0 0 54 0 0 0 0 -12 0 48 0 0 0 0 49 0 0 0 0 6 18 0 10 0 0 0 0 0 0 0 16 0 0 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84 84 243 216 78 216 -104 -78 -182 -208 0 156 -175 234 0 125 -132 -234 -60 189 44 -150 0 -23 27 0 -182 189 138 0 -69 161 -161 0 120 -152 0 0 -216 -126 -198 0 0 0 0 -144 -108 -54 0 0 0 -34 60 0 0 -75 -136 -96 0 0 -105 0 0 0 0 0 105 0 -32 0 -22 0 -112 0 -128 -22 -55 0 0 66 56 -95 0 0 0 0 0 0 0 90 0 -50 0 0 0 0 0 81 0 -20 -70 56 0 0 0 0 -40 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87 87 252 224 81 224 -108 -81 -189 -216 0 162 -182 243 225 130 -138 0 -63 196 46 0 -207 0 28 -161 -189 198 144 -161 -72 168 0 0 125 -160 0 -84 -225 -133 -207 0 -147 0 0 0 0 0 112 57 95 -36 0 -17 0 0 0 -104 0 0 -112 -126 0 36 28 -112 0 75 -34 0 -24 0 -120 -96 0 0 -60 0 0 72 0 -100 0 112 0 -135 -153 0 32 0 0 0 0 0 0 0 -90 0 0 0 0 0 0 0 63 0 0 0 0 -16 12 0 0 35 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 -4 0 0 0 0
90 90 261 232 84 232 -112 -84 -196 -224 0 168 -189 252 0 135 -144 -243 -66 0 48 -156 -216 -24 0 -168 -196 0 150 -168 -75 0 -168 0 130 -168 126 -88 -234 -140 -216 144 0 -198 0 0 -114 -57 0 60 100 -38 0 -18 0 -80 -144 -112 0 0 0 -135 0 0 0 -119 0 80 0 0 0 -96 -128 -104 0 -24 -65 0 0 78 0 0 0 119 0 0 0 0 0 0 0 0 -55 0 0 0 -99 0 0 -22 -77 0 -44 0 0 0 -45 -27 90 0 0 0 54 0 -10 0 0 0 -48 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
93 93 270 240 87 240 0 -87 -203 -232 0 174 -196 261 234 0 -150 0 -69 203 50 0 -225 -25 0 -175 -203 207 156 -175 -78 175 -175 0 135 0 132 -92 -243 0 -225 150 0 -207 0 -152 -120 -60 0 63 105 0 63 -19 0 -85 -152 -120 0 0 0 -144 0 38 30 -126 0 0 -36 0 0 0 -136 -112 -136 -26 -70 -48 0 0 60 0 0 0 0 0 0 -52 36 99 0 -55 0 0 0 0 0 0 0 -24 0 63 -48 0 0 0 -50 0 0 0 16 0 0 0 -12 -14 0 -56 0 0 0 0 27 -4 0 0 0 0 0 0 -36 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
96 96 279 248 90 248 -116 -90 -210 0 0 0 -203 0 243 140 -156 -252 -72 0 52 -162 -234 -26 29 -182 -210 0 162 0 0 182 -182 0 140 0 138 -96 0 -147 -234 156 -154 0 40 0 -126 0 120 0 0 -40 0 0 -114 -90 -160 -128 84 0 0 -153 0 0 32 -133 112 85 -38 0 0 0 -144 -120 0 -28 0 0 -12 84 0 -105 0 126 88 -144 0 0 0 108 0 0 0 0 0 0 -108 0 0 0 -84 0 -52 0 0 0 0 0 99 -20 20 0 63 42 -14 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 -45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
99 99 288 256 93 256 -120 -93 -217 -240 0 0 -210 270 252 145 -162 -261 -75 210 0 -168 -243 -27 30 -189 -217 216 168 0 -81 189 -189 0 145 -176 144 -100 -252 0 -243 162 -161 -216 0 0 -132 -63 128 66 110 -42 66 -20 0 -95 -168 -136 88 0 -119 -162 0 40 0 0 0 90 0 0 0 0 -152 0 0 0 -75 0 0 90 64 0 0 0 0 -153 -162 0 40 0 0 0 0 0 0 0 -117 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 36 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 0 0 0 0 0
102 102 297 264 96 264 -124 -96 -224 -248 0 180 -217 279 261 150 0 -270 -78 217 54 -174 0 -28 31 -196 -224 225 174 -182 -84 196 -196 0 150 -184 150 -104 0 0 -252 168 -168 0 42 -160 -138 0 0 0 0 0 69 0 -120 -100 -176 -144 0 0 -126 0 0 42 0 0 0 95 -40 0 -26 -104 0 -128 0 -30 -80 0 0 96 0 0 0 133 0 0 -171 0 44 0 0 0 0 0 0 0 -126 0 -70 -26 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 30 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
105 105 306 272 99 272 -128 -99 -231 0 0 186 0 288 270 0 -168 -279 0 0 0 -180 -252 -29 32 0 -231 234 180 -189 -87 203 -203 0 155 -192 156 -108 -261 -154 -261 174 -175 0 0 -168 0 0 136 69 115 -44 0 0 -126 -105 0 -152 0 0 -133 -171 0 0 34 -140 119 100 0 0 -28 -112 0 0 0 -32 -85 0 -13 0 0 -110 0 0 0 -162 -180 0 0 117 0 0 0 0 0 0 -135 90 -77 0 0 0 -56 21 0 -56 0 0 0 0 28 0 72 56 0 0 0 0 -56 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108 108 315 280 102 280 -132 -102 -238 -256 0 192 -224 297 279 155 -174 -288 -81 224 56 -186 -261 -30 33 -203 0 243 186 -196 -90 210 0 0 160 -200 0 -112 -270 0 0 180 -182 -225 0 0 0 -66 144 0 0 -46 0 -21 -132 -110 -184 0 92 0 0 0 0 44 36 -147 0 105 0 0 -30 -120 -160 -136 0 -34 -90 -51 0 0 68 0 0 0 96 0 0 -56 48 126 0 0 0 0 0 0 0 99 0 0 0 0 0 24 72 0 0 0 108 -24 32 0 0 0 0 -16 63 0 0 0 0 0 0 0 16 0 0 0 -24 0 0 0 0 -15 45 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0
111 111 324 288 105 288 -136 -105 -245 -264 0 198 -231 306 288 160 -180 0 -84 231 0 -192 -270 0 0 -210 -238 252 192 0 -93 217 -210 0 165 -208 162 0 -279 -161 -270 186 -189 -234 0 -176 0 -69 0 72 120 -48 0 0 -138 0 0 0 0 0 -140 -180 0 46 38 -154 0 0 0 0 -32 -128 0 0 -144 -36 0 0 -14 0 72 0 0 0 104 0 -189 0 0 0 0 0 -60 0 0 0 -144 108 0 0 0 70 -60 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 0 0 0 0 0
114 114 333 296 108 296 -140 -108 -252 -272 0 204 0 315 297 165 -186 -297 -87 238 58 -198 -279 -31 34 0 -245 261 198 -203 -96 224 -217 0 170 -216 0 -116 -288 -168 0 192 -196 -243 44 -184 0 -72 0 75 0 0 72 0 0 -115 -192 -160 0 0 0 0 0 0 40 0 126 110 -42 0 0 0 -168 -144 0 -38 -95 -54 -15 0 0 0 0 140 112 -171 0 -60 0 135 0 0 -65 0 0 0 -153 117 0 0 0 77 0 30 0 0 0 -30 117 0 0 0 81 0 0 0 0 0 -64 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
