1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
-40 -70 27 90 9 63 40 -1 8 -70 81 -16 -63 -45 -70 9 -63 -1 0 -72 16 -6 5 0 36 -48 0 -1 7 -18 0 -1 72 7 -1 -1 32 -1 49 0 -1 36 0 54 4 -20 -1 36 36 -1 -1 -12 -1 20 -1 4 -16 -1 -1 -1 -18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 35 -1 -1 -1 -1 -1 -1 -1
-44 -77 30 99 10 70 45 -60 -1 -77 90 -1 -70 -50 -77 10 -70 -1 -1 -80 -1 -7 -1 0 -1 -56 0 40 -1 -20 0 35 81 8 20 -1 -1 -1 56 -1 35 42 0 63 5 -1 0 -1 -1 16 -1 -1 -24 25 -1 5 -20 15 -1 0 -1 -1 -1 4 -1 -1 -1 3 -1 18 -1 4 -20 -1 -1 0 -1 -1 -1 -16 -1 -1 -1 -1 -1 -1 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-48 -84 33 108 11 77 50 -66 9 -84 99 -18 -77 -55 -84 -1 -77 -63 -1 -88 18 -8 6 -1 42 -64 0 45 -1 -22 0 40 -1 9 24 -1 36 -56 63 0 40 48 0 -1 -1 -25 0 45 -1 20 -1 -1 -28 -1 0 6 -24 18 6 0 -27 -1 0 5 5 -1 -1 6 -1 -1 0 -1 -1 -1 -1 -1 0 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -31 -1 -1 -1 -8 -1 -1 -1 -1 -1 -1 -1 -1
-52 -91 36 117 12 84 55 -72 10 -91 108 -20 -84 -60 -1 11 -1 -70 0 -1 20 -9 7 -1 48 -1 -1 50 8 -24 -1 45 90 10 28 -1 40 -1 70 0 45 54 0 -1 6 -1 0 -1 45 -1 24 -16 -32 -1 0 7 -28 -1 -1 -1 -1 -1 0 6 -1 6 -1 -1 -1 -1 -1 -1 -1 -15 -1 -1 -1 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-56 -98 39 126 13 91 60 -1 11 -98 117 -1 -91 -65 -91 -1 -84 -77 0 -96 22 -10 8 -1 54 -72 0 -1 9 -26 0 50 -1 -1 -1 21 44 -1 77 0 50 -1 0 -1 -1 -30 -1 -1 -1 24 -1 -20 -1 -1 0 -1 -32 21 -1 -1 -36 -1 -1 7 -1 7 -1 -1 18 27 0 -1 -1 -1 0 0 0 -1 -1 -1 -1 -9 -5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-60 -105 42 135 14 98 65 -78 12 -105 126 -22 -98 -70 -98 12 -91 -84 0 -104 24 -1 9 0 -1 -80 -1 55 -1 -28 0 -1 99 11 32 -1 48 -1 -1 0 -1 -1 0 -1 7 -1 0 54 54 -1 -1 -24 -1 -1 -1 -1 -36 24 -1 -1 -45 -1 0 -1 -1 -1 -1 9 -1 36 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-64 -112 45 144 15 105 70 -84 -1 -112 135 -24 -105 -75 -105 13 -98 -91 0 -112 -1 -1 10 0 -1 -88 0 60 10 -30 -1 -1 -1 -1 36 28 52 -64 84 0 55 60 -1 72 -1 -1 -1 63 -1 -1 -1 -1 -36 30 0 -1 -1 -1 -1 0 -54 -1 0 8 -1 -1 -16 -1 -1 45 -1 -1 -1 -1 0 0 -1 -1 -1 -1 36 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-68 -119 48 153 16 112 75 -90 13 -119 144 -26 -112 -80 -112 14 -1 -98 0 -120 26 -11 11 0 60 -96 0 65 11 -32 0 55 108 12 40 35 56 -1 91 -1 60 -1 0 81 -1 -1 0 72 63 28 -1 -28 -1 -1 0 -1 -40 27 8 -1 -1 -1 0 -1 6 -1 -1 12 21 -1 -1 5 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-72 -126 51 162 17 119 80 -96 14 -126 153 -28 -119 -85 -119 15 -105 -105 0 -128 28 -1 12 0 -1 -104 -1 70 12 -34 0 60 -1 -1 44 42 60 -72 98 -1 -1 -1 0 90 8 -35 -1 81 72 32 -1 -32 -1 -1 -1 -1 -44 -1 -1 -1 -63 -1 0 -1 7 -1 -1 -1 -1 -1 -1 -1 -24 -1 -1 0 -1 16 -1 -24 -1 -1 -16 -8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-76 -133 54 171 18 126 85 -102 15 -133 162 -30 -126 -90 -126 16 -112 -112 -1 -1 30 -12 13 0 66 -1 0 75 13 -36 0 65 117 13 48 49 64 -80 -1 -1 -1 66 0 99 -1 -1 0 -1 -1 -1 30 -1 -40 35 -1 -1 -48 30 -1 -1 -72 -1 -1 -1 8 8 -1 -1 -1 54 -1 6 -1 -1 -1 -1 -1 -1 -1 -32 -1 -1 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-80 -140 57 180 19 133 90 -108 16 -140 171 -32 -133 -95 -1 17 -119 -119 0 -136 32 -13 14 0 -1 -1 0 80 14 -38 0 70 126 14 -1 56 68 -88 -1 0 -1 -1 0 108 -1 -1 0 -1 81 36 -1 -1 -44 40 0 -1 -1 -1 -1 -1 -81 -1 0 -1 -1 -1 -24 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 45 -1 -1 -12 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1
-84 -147 60 189 20 140 95 -114 17 -147 180 -34 -140 -1 -133 18 -126 -126 0 -1 34 -14 15 0 -1 -1 0 -1 15 -40 -1 75 135 15 52 -1 72 -96 105 0 65 72 0 117 -1 -40 -1 90 -1 40 -1 -36 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -32 -1 -1 -1 0 -1 -1 -1 -1 -1 0 20 -32 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42 -1 -1 -1 -1 -1 -1 -1 -1 -1
-88 -154 63 -1 21 147 100 -120 18 -154 189 -36 -147 -100 -140 19 -133 -1 0 -144 -1 -15 16 0 72 -112 0 85 16 -1 0 -1 144 16 -1 -1 76 -104 112 0 -1 78 -1 126 9 -45 -1 99 90 -1 36 -1 -48 -1 0 -1 -52 33 -1 -1 -90 -1 0 -1 9 9 -1 -1 -1 63 -1 7 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -32 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -48 -1
-92 -161 66 198 22 154 105 -126 19 -161 198 -38 -154 -105 -147 20 -140 -133 0 -152 36 -1 -1 0 78 -120 0 -1 17 -42 0 -1 -1 17 56 63 80 -1 119 0 70 -1 0 -1 10 -50 0 108 -1 44 42 -40 -52 -1 -1 -1 -1 -1 -1 -1 -99 -1 -1 -1 10 -1 -40 -1 24 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -10 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-96 -168 69 207 23 161 110 -132 20 -168 207 -1 -1 -110 -154 21 -147 -140 0 -1 38 -16 17 -1 84 -1 0 90 18 -1 -1 80 153 -1 60 70 -1 -112 126 -1 75 84 -1 135 -1 -55 -1 -1 99 48 -1 -1 -1 45 -1 -1 -56 36 10 0 -1 -1 0 -1 -1 -1 -1 18 -1 72 -1 -1 -28 -1 -1 -1 0 24 -1 -1 -1 -1 -40 -1 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-100 -175 72 216 24 168 115 -138 21 -175 216 -40 -161 -115 -161 22 -154 -1 -1 -160 40 -17 18 0 90 -128 0 95 19 -1 0 85 162 18 -1 77 -1 -120 133 0 80 90 0 -1 -1 -60 0 117 -1 52 -1 -44 -1 50 0 -1 -60 -1 12 -1 -1 -2 -1 -1 -1 10 -48 -1 27 81 0 9 -1 -1 -1 0 -1 -1 -1 -1 54 -1 -1 -16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30 -1 -1 -1
-104 -182 75 225 25 175 120 -144 22 -182 -1 -42 -168 -120 -168 23 -161 -147 0 -168 42 -18 -1 0 96 -136 0 -1 20 -1 0 -1 -1 19 64 -1 -1 -1 -1 0 85 96 0 -1 -1 -65 -1 126 -1 56 -1 -48 -56 55 0 -1 -1 -1 -1 -1 -1 -1 0 10 -1 -1 -1 -1 30 -1 -1 -1 -32 -1 -1 -1 -1 28 -1 -1 63 -1 -1 -1 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-108 -189 78 234 26 182 125 -150 23 -189 225 -44 -175 -125 -175 24 -168 -154 0 -176 44 -1 19 0 102 -1 0 100 -1 -1 0 90 171 20 68 84 84 -128 140 -1 -1 102 0 144 -1 -1 -1 -1 108 60 48 -52 -1 60 -1 9 -64 39 -1 0 -1 -1 -1 -1 -1 11 -56 -1 -1 -1 0 10 -1 -1 -1 0 -1 -1 -4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-112 -196 81 243 27 189 130 -156 24 -1 -1 -46 -182 -1 -182 25 -175 -161 0 -184 46 -19 20 -1 108 -144 -1 105 21 -44 0 95 180 21 72 91 88 -136 147 -1 90 -1 -1 -1 11 -70 0 135 117 64 54 -56 -60 -1 -1 -1 -68 -1 14 0 -1 -1 0 11 11 -1 -64 -1 -1 90 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-116 -203 84 252 28 196 135 -162 25 -196 234 -48 -189 -1 -1 26 -1 -168 -1 -192 48 -1 21 0 114 -152 -1 -1 22 -46 0 -1 189 -1 76 98 -1 -144 154 -1 95 -1 -1 -1 -1 -1 -1 144 -1 -1 60 -60 -1 -1 -1 10 -1 42 -1 -1 -1 -3 -1 12 12 -1 -1 -1 -1 99 -1 -1 -1 -1 0 -1 -1 -1 -8 -1 72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-120 -210 87 261 29 203 140 -168 26 -203 243 -50 -196 -130 -189 27 -182 -1 -1 -200 50 -20 22 0 120 -160 0 -1 23 -48 -1 100 198 22 80 105 92 -152 -1 0 -1 108 0 -1 -1 -75 0 -1 -1 -1 66 -64 -64 65 -1 -1 -1 45 16 -1 -108 -4 -1 -1 -1 -1 -1 -1 -1 -1 -1 11 -1 -20 -1 -1 -1 32 -12 -1 -1 -1 -1 -20 -1 -1 -1 -1 16 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1
-124 -217 90 270 30 210 145 -174 27 -210 252 -1 -203 -135 -196 28 -189 -175 0 -208 -1 -21 -1 0 126 -168 -1 110 24 -50 0 105 -1 23 84 112 -1 -160 -1 0 -1 114 -1 -1 -1 -1 -1 153 126 -1 72 -1 -1 -1 -1 -1 -72 48 18 -1 -1 -1 -1 -1 -1 12 -1 -1 33 -1 -1 12 -1 -1 -1 -1 -1 -1 -16 -40 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-128 -224 93 279 31 217 150 -180 28 -217 261 -1 -210 -140 -203 29 -196 -182 -1 -216 -1 -22 23 0 132 -176 0 115 25 -52 -1 110 207 24 88 -1 96 -1 161 0 100 120 0 -1 12 -1 -1 -1 135 -1 -1 -1 -1 -1 0 11 -76 51 20 -1 -117 -1 -1 -1 -1 -1 -72 -1 36 -1 -1 -1 -36 -1 0 0 -1 -1 -1 -48 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-132 -231 96 288 32 224 155 -186 29 -224 270 -52 -217 -145 -1 30 -203 -189 -1 -224 -1 -1 24 -1 -1 -184 0 -1 -1 -1 0 -1 -1 25 92 119 100 -168 168 -1 -1 -1 0 -1 13 -80 -1 -1 144 -1 78 -1 -1 -1 -1 12 -1 54 -1 0 -1 -5 0 -1 -1 -1 -1 -1 39 -1 -1 -1 -1 -1 -1 -1 0 -1 -20 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 19
-136 -238 99 297 33 231 160 -192 30 -1 279 -54 -224 -150 -210 31 -210 -196 0 -232 52 -23 25 0 138 -192 0 -1 26 -54 -1 -1 216 -1 96 -1 104 -176 175 -1 105 126 -1 -1 14 -1 0 162 153 68 -1 -1 -1 70 0 13 -80 57 22 0 -1 -1 -1 13 -1 -1 -1 -1 -1 108 -1 13 -1 -25 -1 0 -1 36 -1 -1 81 -1 -48 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-140 -245 102 306 34 238 165 -198 31 -231 288 -56 -231 -1 -217 32 -217 -203 0 -1 54 -24 26 0 144 -1 0 120 27 -56 0 115 225 -1 100 126 108 -184 182 0 110 -1 -1 153 -1 -85 -1 171 162 72 -1 -1 -1 -1 -1 -1 -84 60 24 0 -126 -1 -1 14 13 -1 -80 -1 42 -1 -1 14 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 4 -1 -1 -1
-144 -252 105 315 35 245 170 -204 32 -238 297 -58 -238 -155 -224 -1 -224 -1 0 -240 56 -25 -1 0 150 -200 -1 125 -1 -58 -1 120 234 -1 -1 133 -1 -1 189 -1 115 132 -1 162 15 -90 0 -1 -1 76 -1 -68 -68 75 0 -1 -1 63 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -30 -1 -1 -1 -1 -1 -56 -1 -1 -1 -1 25 -1 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-148 -259 108 324 36 252 175 -210 33 -245 306 -60 -245 -1 -231 33 -231 -210 0 -248 58 -26 27 0 156 -1 0 130 28 -1 0 125 243 26 104 140 112 -192 196 -1 -1 138 0 -1 -1 -95 0 -1 171 -1 -1 -72 -72 80 0 14 -1 66 -1 0 -1 -1 -1 15 -1 -1 -88 -1 -1 117 0 -1 -40 -1 0 -1 -1 40 -1 -1 -1 -27 -56 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-152 -266 111 333 37 259 180 -216 34 -252 315 -62 -252 -160 -238 34 -238 -1 0 -256 60 -27 28 0 162 -208 0 135 29 -60 0 130 -1 -1 -1 147 116 -200 203 0 -1 144 -1 -1 16 -1 0 -1 180 80 -1 -1 -1 -1 0 -1 -1 69 -1 -1 -1 -6 -1 -1 14 -1 -1 -1 45 -1 0 -1 -1 -35 0 0 -1 -1 -1 -1 90 -1 -1 -1 -1 -1 45 -1 24 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1
-156 -273 114 342 38 266 185 -222 35 -259 324 -64 -259 -165 -1 -1 -245 -217 0 -1 62 -28 29 0 168 -216 0 -1 30 -62 0 135 252 27 108 154 120 -1 210 -1 120 -1 0 -1 17 -1 -1 180 -1 -1 84 -1 -1 85 0 15 -1 -1 28 0 -1 -7 -1 16 -1 -1 -96 21 -1 -1 -1 -1 -1 -40 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 54 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1
-160 -280 117 351 39 273 190 -228 36 -266 333 -1 -1 -170 -1 35 -252 -224 0 -1 64 -29 30 0 174 -224 -1 140 31 -64 0 -1 261 28 112 161 124 -208 217 0 -1 -1 0 171 -1 -100 0 189 189 84 90 -1 -1 -1 0 -1 -1 72 30 -1 -1 -8 -1 17 -1 13 -1 -1 48 -1 -1 -1 -1 -45 -1 -1 0 44 -1 -1 -1 -1 -64 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-164 -287 120 360 40 280 195 -234 37 -273 342 -66 -266 -175 -245 -1 -259 -1 0 -264 -1 -30 31 0 180 -1 -1 145 32 -66 -1 -1 270 -1 -1 168 -1 -1 224 0 125 -1 -1 180 18 -105 0 198 -1 88 96 -76 -1 -1 -1 -1 -88 75 32 -1 -135 -9 0 18 -1 14 -1 -1 51 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -64 -1 -1 -72 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1
-168 -294 123 369 41 287 200 -240 38 -1 351 -68 -273 -180 -1 36 -266 -231 -1 -272 66 -1 32 -1 186 -1 -1 150 33 -68 0 140 -1 29 -1 175 128 -216 -1 -1 130 150 0 189 19 -110 -1 -1 -1 92 102 -1 -76 90 0 16 -1 78 34 -1 -1 -1 0 -1 -1 15 -1 -1 54 -1 -1 -1 -1 -1 -1 -1 0 48 -24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1
-172 -301 126 378 42 294 205 -246 39 -280 360 -70 -280 -185 -252 37 -273 -238 0 -280 68 -31 -1 0 192 -1 -1 155 34 -1 -1 145 279 30 -1 182 -1 -224 231 -1 135 -1 -1 198 -1 -1 0 -1 198 96 -1 -80 -80 95 0 -1 -1 -1 -1 -1 -144 -1 -1 -1 -1 16 -1 -1 -1 -1 -1 -1 -44 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -12 -1 -1 -1 -1 -1 -1 -1 -1
-176 -308 129 387 43 301 210 -252 40 -287 369 -72 -287 -190 -259 38 -280 -245 -1 -288 70 -32 33 0 198 -232 0 160 35 -70 0 -1 -1 -1 116 -1 -1 -232 238 -1 -1 156 -1 -1 20 -115 -1 -1 -1 -1 -1 -1 -84 100 0 17 -1 81 -1 -1 -1 -1 0 19 -1 -1 -1 -1 57 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -72 99 -1 -1 -1 -1 -1 -1 -1 -1 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-180 -315 132 396 44 308 215 -258 41 -1 378 -74 -1 -195 -266 39 -287 -252 0 -1 72 -33 34 0 204 -1 -1 165 36 -72 0 150 288 31 -1 -1 -1 -1 -1 0 140 -1 0 207 21 -120 -1 -1 207 100 -1 -84 -1 105 -1 -1 -1 -1 -1 0 -153 -1 0 -1 15 17 -1 24 -1 126 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 63 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-184 -322 135 405 -1 -1 220 -264 42 -294 387 -1 -294 -200 -273 40 -294 -259 0 -296 74 -34 35 0 210 -240 0 -1 37 -74 -1 155 297 32 120 189 132 -1 -1 0 145 162 -1 216 22 -1 -1 207 -1 104 -1 -88 -1 -1 -1 -1 -1 84 36 0 -1 -10 0 -1 16 18 -104 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -80 -24 -1 -1 -1 -1 -1 -1 -1 -16 -1 -1 9 -1 8 -1 -1 -1
-188 -329 138 414 45 315 -1 -270 43 -301 396 -76 -301 -205 -280 41 -1 -266 -1 -1 76 -35 36 0 -1 -248 -1 -1 38 -1 -1 160 306 33 -1 -1 136 -1 -1 -1 150 -1 -1 225 -1 -1 -1 -1 216 108 108 -92 -1 -1 -1 -1 -1 -1 38 -1 -162 -1 -1 20 17 -1 -1 27 -1 135 -1 15 -1 -1 -1 0 -1 -1 -28 -80 -1 -1 -1 -1 -1 -1 -1 -6 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1
-192 -336 141 423 46 322 225 -276 -1 -308 -1 -1 -308 -210 -287 42 -301 -273 0 -304 78 -36 37 0 -1 -256 -1 -1 -1 -1 -1 165 -1 34 124 -1 140 -1 245 -1 -1 168 -1 -1 -1 -125 0 216 225 -1 -1 -1 -1 110 -1 18 -92 87 -1 -1 -171 -11 0 21 -1 -1 -1 -1 60 -1 0 -1 -1 -1 -1 -1 0 52 -1 -1 -1 -36 -1 -1 -1 -1 -1 -12 -1 -1 -1 -1 -1 12 -1 -1 -1 -1 -1 -1
-196 -343 144 432 47 329 230 -1 44 -315 405 -78 -1 -215 -294 43 -1 -280 0 -312 80 -37 38 0 216 -264 0 170 39 -76 0 170 -1 35 128 196 -1 -240 252 0 -1 -1 -1 234 23 -130 0 -1 234 112 114 -1 -1 115 0 -1 -1 90 40 0 -1 -12 0 -1 18 19 -1 30 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -88 108 -1 -1 -1 -1 -1 72 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
